SNR(dB) | 平均MSE(dB) | 平均SNR提升(dB)
     0  |     -6.49±-19.43 |    0.44±1.31
     1  |     -6.91±-13.38 |   -0.23±0.26
     2  |     -4.70±-8.53 |   -1.23±0.80
     3  |     -7.35±-14.11 |   -1.06±2.22
     4  |     -8.29±-13.51 |   -1.78±1.89
     5  |    -10.45±-14.12 |   -2.97±1.60
     6  |     -8.07±-11.29 |   -3.38±2.20
     7  |     -8.57±-10.45 |   -3.49±0.26
     8  |    -11.72±-19.74 |   -3.06±0.89
     9  |    -13.76±-20.38 |   -3.13±0.60
    10  |    -13.27±-16.47 |   -3.58±1.36
    11  |    -13.64±-16.51 |   -3.51±1.06
    12  |    -15.44±-19.34 |   -4.74±1.93
    13  |    -14.72±-15.18 |   -7.28±1.56
    14  |    -18.84±-22.19 |   -4.81±1.55
    15  |    -14.05±-18.21 |   -7.37±1.94
    16  |    -16.53±-19.95 |   -5.83±1.11
    17  |    -20.16±-27.11 |   -4.69±1.00
    18  |    -22.33±-30.19 |   -4.73±1.92
    19  |    -19.43±-26.48 |   -6.81±1.20
    20  |    -20.38±-25.13 |   -7.06±1.68
    21  |    -21.17±-24.29 |   -5.87±2.23
    22  |    -26.24±-31.38 |   -3.93±1.09
    23  |    -29.12±-31.36 |   -4.50±0.15
    24  |    -26.93±-27.74 |   -4.11±2.15
    25  |    -29.60±-32.50 |   -4.00±1.68
